identifier,serie,title,date,langue
oai:persee:article/1895_0769-0959_1987_num_3_1_892_t1_0029_0000_3,"1895, revue d'histoire du cinéma","Vitagraph Co. of America, Il cinema prima di Hollywood, a cura di Paolo Cherchi Usai, 1987",1987,fre
oai:persee:article/1895_0769-0959_1987_num_3_1_892_t1_0028_0000_5,"1895, revue d'histoire du cinéma","Gaumont : 90 ans de cinéma, sous la direction de Philippe d'Hugues et Dominique Muller, 1986",1987,fre
oai:persee:article/1895_0769-0959_1986_num_1_1_878_t1_0032_0000_3,"1895, revue d'histoire du cinéma","Paolo Cherchi Usai, Giovanni Pastrone. Gli anni d'oro del cinema a Torino, 1986",1986,fre
oai:persee:article/arss_0335-5322_1975_num_1_1_2450,Actes de la recherche en sciences sociales,L'école obligatoire et l'invention de l'enfance anormale,1975,fre
oai:persee:article/arss_0335-5322_1975_num_1_2_2459,Actes de la recherche en sciences sociales,Le titre et le poste : rapports entre le système de production et le système de reproduction,1975,fre
oai:persee:article/arss_0335-5322_1975_num_1_1_2451,Actes de la recherche en sciences sociales,L'enseignement agricole et la domination symbolique de la paysannerie,1975,fre
oai:persee:article/acsfo_0000-0000_1980_act_1_1_852,Actes des colloques de la Société française d'onomastique,Préface,1980,fre
oai:persee:article/acsfo_0000-0000_1980_act_1_1_867,Actes des colloques de la Société française d'onomastique,"Sur les ""dubes"" de la Collégiale de Loches",1980,fre
oai:persee:article/acsfo_0000-0000_1980_act_1_1_873,Actes des colloques de la Société française d'onomastique,Table des matières,1980,fre
oai:persee:article/girea_0000-0000_1976_act_6_1_1076,Actes des colloques du Groupe de recherche sur l'esclavage dans l'antiquité,"Table des tableaux, schémas, graphiques et cartes",1976,fre
oai:persee:article/girea_0000-0000_1974_act_3_1_883,Actes des colloques du Groupe de recherche sur l'esclavage dans l'antiquité,Les inscriptions du théâtre de Bouthrôtos,1974,fre
oai:persee:article/girea_0000-0000_1972_act_1_1_869,Actes des colloques du Groupe de recherche sur l'esclavage dans l'antiquité,L'esclavage antique dans l'historiographie soviétique,1972,fre
oai:persee:article/acths_0998-5662_2003_act_125_1_976,Actes des congrès nationaux des sociétés historiques et scientifiques,La Maison de l’Europe de Douai : propager l’idéal européen,2003,fre
oai:persee:article/acths_0998-5662_2003_act_125_1_970,Actes des congrès nationaux des sociétés historiques et scientifiques,"Une correspondance scientifique dans l’Europe du XVIIIe siècle : J.-N. Delisle, astronome",2003,fre
oai:persee:article/acths_0998-5662_2003_act_125_1_971,Actes des congrès nationaux des sociétés historiques et scientifiques,Un historien de la musique européen avant la lettre : Pierre-Louis Ginguené (1748-1816),2003,fre
oai:persee:article/aflin_2033-8732_1967_num_3_1_870,Africana Linguistica,Proverbes des Songye,1967,fre
oai:persee:article/aflin_2033-8732_1962_num_1_1_859,Africana Linguistica,Lega-teksten,1962,fre
oai:persee:article/aflin_2033-8732_1965_num_2_1_865,Africana Linguistica,Deux fabliaux des Ngombe,1965,fre
oai:persee:article/agora_1268-5666_1995_num_2_1_1521_t16_0150_0000_2,Agora débats/jeunesses,Le Street Hockey : Sport de rue...,1995,fre
oai:persee:article/agora_1268-5666_1995_num_2_1_1520_t15_0135_0000_1,Agora débats/jeunesses,"Colloque «Travail, emploi, et activité : pour un nouveau contrat social» CRIDA / LSCI CNRS, IEP DE PARIS 22 JUIN 1995",1995,fre
oai:persee:article/agora_1268-5666_1995_num_1_1_1029_t1_0130_0000_3,Agora débats/jeunesses,"Pour ceux qui n'auraient toujours pas lu l'ouvrage de Gérard Mauger, nous vous recommandons vivement : Les jeunes en France. Etat des Recherches",1995,fre
oai:persee:article/albin_1154-5852_1988_num_1_1_1259,"Albineana, Cahiers d'Aubigné",Agrippa d'Aubigné théologien,1988,fre
oai:persee:article/albin_1154-5852_1988_num_1_1_1263,"Albineana, Cahiers d'Aubigné",L'élaboration d'une Concordance des Tragiques,1988,fre
oai:persee:article/albin_1154-5852_1990_num_3_1_1290,"Albineana, Cahiers d'Aubigné",Deux féministes poitevines au XVIe siècle : Les dames des Roches,1990,fre
oai:persee:article/icocm_0000-0003_1931_alb_1_1_850_t1_0037_0000_1,Albums iconographiques du Caire moderne,"39. School of the Feminist Union, Cairo",1931,fre
